k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl,nu_value
1,0.328390,0.144614,402.108188,0.671610,0.735129,3.009674,10.000000
2,0.382633,0.183869,401.447679,0.617367,0.701393,5.644515,10.000000
4,0.434403,0.217775,393.775359,0.565597,0.672253,8.470039,10.000000
8,0.480737,0.258758,384.601441,0.519263,0.637033,13.559786,10.000000
16,0.517206,0.286091,376.376989,0.482794,0.613542,20.200125,10.000000
32,0.515961,0.280127,375.575301,0.484039,0.618667,18.601995,10.000000
