k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl
1,0.328819,0.143935,401.818361,0.671181,0.735712,3.009368
2,0.383825,0.184305,400.964774,0.616175,0.701018,6.340091
4,0.430167,0.216893,394.969854,0.569833,0.673011,9.018209
8,0.476677,0.258022,385.777782,0.523323,0.637665,14.051254
16,0.513795,0.283302,377.620482,0.486206,0.615939,20.935804
32,0.518936,0.288982,376.573587,0.481064,0.611057,20.373087
