k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.316842,0.128018,404.789071,0.683158,0.749392
2,0.374404,0.167667,402.383265,0.625596,0.715316
4,0.420006,0.198797,398.081061,0.579994,0.688563
8,0.467851,0.235396,388.809787,0.532149,0.657110
16,0.514520,0.271575,374.151838,0.485480,0.626017
32,0.568348,0.308030,348.198343,0.431652,0.594687
