k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl,nu_value
1,0.328421,0.143559,401.844589,0.671579,0.736036,3.020813,5.000000
2,0.380590,0.183152,401.651884,0.619410,0.702009,5.660728,5.000000
4,0.432131,0.218622,394.027639,0.567869,0.671526,8.855480,5.000000
8,0.481819,0.258086,384.465905,0.518181,0.637610,14.152603,5.000000
16,0.509523,0.281095,378.562487,0.490477,0.617836,19.199726,5.000000
32,0.509751,0.277516,377.617300,0.490249,0.620912,17.801016,5.000000
