k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl,nu_value
1,0.325938,0.142653,402.655306,0.674062,0.736814,3.838505,2.500000
2,0.380565,0.182355,401.864543,0.619435,0.702694,7.131812,2.500000
4,0.434411,0.216861,393.421601,0.565589,0.673039,10.135347,2.500000
8,0.481075,0.250828,385.085246,0.518925,0.643847,16.397602,2.500000
16,0.499210,0.263982,379.965738,0.500790,0.632542,18.962875,2.500000
32,0.478314,0.251238,384.353259,0.521686,0.643495,15.896202,2.500000
