k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.262511,0.099692,406.387836,0.737489,0.773735
2,-0.000118,-0.003996,406.815638,1.000118,0.862846
4,0.441351,0.211240,390.374217,0.558649,0.677869
8,0.465595,0.232033,386.313419,0.534405,0.660000
16,0.510718,0.278399,373.873941,0.489282,0.620153
32,0.549194,0.293531,359.284033,0.450806,0.607148
