k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.327599,0.144973,402.263295,0.672401,0.734821
2,0.382585,0.179948,400.502477,0.617415,0.704763
4,0.430834,0.213759,394.430384,0.569166,0.675704
8,0.473030,0.257485,385.709346,0.526970,0.638127
16,0.517814,0.294962,370.248355,0.482186,0.605918
32,0.566208,0.318862,349.865371,0.433792,0.585378
