k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl,nu_value
1,0.328740,0.143390,401.712078,0.671260,0.736180,2.974169,10.000000
2,0.381622,0.183617,401.339995,0.618378,0.701609,5.746596,10.000000
4,0.432223,0.218062,393.892739,0.567777,0.672007,8.623631,10.000000
8,0.475501,0.261186,386.656766,0.524499,0.634945,13.755488,10.000000
16,0.513979,0.282870,377.091711,0.486021,0.616310,19.876518,10.000000
32,0.511935,0.279417,377.276501,0.488065,0.619277,18.132696,10.000000
