k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.326118,0.145029,402.620792,0.673882,0.734772
2,0.389745,0.179290,398.727068,0.610255,0.705328
4,0.417083,0.202088,395.935516,0.582917,0.685735
8,0.483581,0.245097,382.468955,0.516419,0.648773
16,0.515322,0.273213,372.898838,0.484678,0.624609
32,0.537430,0.285126,365.184290,0.462570,0.614371
