k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.307070,0.112865,405.149688,0.692930,0.762414
2,0.366191,0.134796,403.141148,0.633809,0.743566
4,0.410545,0.137502,398.779600,0.589455,0.741241
8,0.455343,0.186870,391.653397,0.544657,0.698813
16,0.483834,0.229816,384.946834,0.516166,0.661906
32,0.485111,0.240304,385.070982,0.514889,0.652892
