k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl
1,0.327276,0.144281,402.601276,0.672724,0.735415,2.220768
2,0.381871,0.182956,401.640758,0.618129,0.702178,3.684408
4,0.425757,0.214426,397.713607,0.574243,0.675132,5.256896
8,0.471808,0.250650,388.992733,0.528192,0.644000,7.355343
16,0.484044,0.256578,386.215116,0.515956,0.638905,7.619226
32,0.472876,0.246584,387.776409,0.527124,0.647495,6.946677
