k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl,nu_value
1,0.326759,0.142924,402.434491,0.673241,0.736582,3.469908,3.000000
2,0.381862,0.183522,401.430092,0.618138,0.701691,6.446816,3.000000
4,0.431097,0.212038,394.304442,0.568903,0.677184,9.501785,3.000000
8,0.480762,0.257452,385.185666,0.519238,0.638155,14.924853,3.000000
16,0.507497,0.272364,378.299459,0.492503,0.625339,18.411732,3.000000
32,0.498941,0.266162,379.680609,0.501059,0.630669,17.102989,3.000000
