k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl,nu_value
1,0.326828,0.144638,402.702189,0.673173,0.735108,3.816194,2.500000
2,0.377598,0.181203,402.835377,0.622402,0.703684,6.531475,2.500000
4,0.432213,0.217246,394.036729,0.567787,0.672708,10.959627,2.500000
8,0.477158,0.257547,387.045124,0.522842,0.638073,16.397680,2.500000
16,0.495841,0.259665,380.847207,0.504159,0.636253,18.277468,2.500000
32,0.461465,0.235879,388.716020,0.538535,0.656694,14.094404,2.500000
