k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.325400,0.147232,402.881189,0.674599,0.732879
2,0.381876,0.190067,399.822358,0.618124,0.696066
4,0.428107,0.230569,394.635452,0.571892,0.661258
8,0.476681,0.292357,385.489208,0.523319,0.608157
16,0.531321,0.332343,369.529149,0.468678,0.573792
32,0.597729,0.380733,341.534872,0.402271,0.532206
