k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.318885,0.126255,404.589474,0.681115,0.750907
2,0.374111,0.165936,402.493369,0.625889,0.716804
4,0.420636,0.199535,398.061183,0.579364,0.687929
8,0.468312,0.236552,388.632050,0.531688,0.656116
16,0.517704,0.273580,373.626673,0.482296,0.624294
32,0.557086,0.310652,352.258237,0.442914,0.592434
