k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.308134,0.110625,405.090676,0.691866,0.764339
2,0.366880,0.128858,402.815370,0.633120,0.748670
4,0.386595,0.133573,401.161986,0.613405,0.744617
8,0.412543,0.158762,399.075284,0.587457,0.722970
16,0.466150,0.224771,388.872158,0.533850,0.666241
32,0.503877,0.256273,378.857716,0.496123,0.639167
