k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.289391,0.100195,405.884790,0.710609,0.773303
2,0.381736,0.179631,400.244378,0.618264,0.705035
4,0.428024,0.212334,395.053010,0.571976,0.676929
8,0.471414,0.262247,386.164471,0.528586,0.634033
16,0.522625,0.297814,368.166171,0.477375,0.603467
32,0.571318,0.317425,347.540044,0.428682,0.586613
