k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.325292,0.144356,402.846719,0.674708,0.735351
2,0.385948,0.181130,399.312337,0.614052,0.703746
4,0.432354,0.220586,393.444518,0.567646,0.669837
8,0.471448,0.261094,386.472527,0.528552,0.635024
16,0.509854,0.276532,374.553353,0.490146,0.621757
32,0.556794,0.298061,356.218940,0.443206,0.603255
