k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl,nu_value
1,0.326321,0.143237,402.636753,0.673680,0.736312,3.390599,3.000000
2,0.385106,0.183648,400.576994,0.614894,0.701582,5.741547,3.000000
4,0.429188,0.218481,395.594696,0.570812,0.671647,10.364573,3.000000
8,0.476026,0.247223,385.693766,0.523974,0.646946,15.053179,3.000000
16,0.505846,0.270617,378.187479,0.494154,0.626841,19.040415,3.000000
32,0.503888,0.263281,378.124278,0.496112,0.633145,17.586452,3.000000
