k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse
1,0.326714,0.144670,402.783695,0.673286,0.735081
2,0.383203,0.178887,400.050766,0.616797,0.705675
4,0.428640,0.208170,394.623383,0.571360,0.680508
8,0.471128,0.262449,385.637600,0.528872,0.633860
16,0.518972,0.296023,369.992656,0.481028,0.605006
32,0.572396,0.317692,346.552626,0.427604,0.586383
