k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl
1,0.326510,0.143602,402.749858,0.673490,0.735999,2.227123
2,0.383302,0.183258,401.016036,0.616698,0.701917,3.796187
4,0.426432,0.214243,397.037199,0.573568,0.675289,5.178017
8,0.466748,0.251043,390.525716,0.533252,0.643662,7.002246
16,0.467862,0.251407,390.574437,0.532138,0.643350,6.981832
32,0.472875,0.249820,387.882404,0.527125,0.644714,6.863657
