k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl,nu_value
1,0.328626,0.144011,402.035927,0.671374,0.735647,3.078755,5.000000
2,0.387238,0.179447,400.322662,0.612762,0.705193,5.246744,5.000000
4,0.432896,0.218238,394.138447,0.567104,0.671856,8.778558,5.000000
8,0.479621,0.254782,384.888686,0.520379,0.640449,13.842669,5.000000
16,0.512155,0.282100,377.593076,0.487845,0.616972,19.214142,5.000000
32,0.517040,0.274614,374.098798,0.482960,0.623406,17.840681,5.000000
