k,train_preserved_variance,test_preserved_variance,residual_entropy,train_mse,test_mse,train_kl,nu_value
1,0.327995,0.143243,402.016741,0.672005,0.736307,3.168237,3.091669
2,0.381821,0.183512,401.439265,0.618179,0.701700,6.398365,3.032886
4,0.431012,0.211197,394.364629,0.568988,0.677907,9.404157,3.076906
8,0.486031,0.256901,382.957281,0.513969,0.638628,15.091008,3.168354
16,0.506382,0.273416,378.655810,0.493618,0.624435,18.322281,3.280586
32,0.501324,0.269223,379.132837,0.498676,0.628038,17.185352,3.416118
